"TransactionId","TransactionDate","Tour","Round","Amount","Description"
"JL2019070118054985820942","2019-07-01T18:05:49.000Z","ICC Cricket World Cup 2019","Round40",49,"Joined A Contest"
"JL2019070118050985820942","2019-07-01T18:05:09.000Z","ICC Cricket World Cup 2019","Round40",49,"Joined A Contest"
"DD2019070118034285820942","2019-07-01T18:05:00.000Z","","",250,"Deposited Cash"
"JL2019070117041885820942","2019-07-01T17:04:18.000Z","ICC Cricket World Cup 2019","Round40",19,"Joined A Contest"
"DD2019070117032985820942","2019-07-01T17:04:09.000Z","","",19,"Deposited Cash"
"JL2019070116513385820942","2019-07-01T16:51:33.000Z","ICC Cricket World Cup 2019","Round40",19,"Joined A Contest"
"JL2019070116460385820942","2019-07-01T16:46:03.000Z","ICC Cricket World Cup 2019","Round40",34,"Joined A Contest"
"JL2019070116455285820942","2019-07-01T16:45:52.000Z","ICC Cricket World Cup 2019","Round40",34,"Joined A Contest"
"JL2019070116442985820942","2019-07-01T16:44:29.000Z","ICC Cricket World Cup 2019","Round40",19,"Joined A Contest"
"JL2019070116432085820942","2019-07-01T16:43:20.000Z","ICC Cricket World Cup 2019","Round40",19,"Joined A Contest"
"DD2019070116421085820942","2019-07-01T16:43:07.000Z","","",125,"Deposited Cash"
"JL2019070101085385820942","2019-07-01T01:08:53.000Z","ICC Cricket World Cup 2019","Round39",35,"Joined A Contest"
"JL2019070101013685820942","2019-07-01T01:01:36.000Z","ICC Cricket World Cup 2019","Round39",49,"Joined A Contest"
"DD2019070101004485820942","2019-07-01T01:01:24.000Z","","",50,"Deposited Cash"
"LW2019063018200088585820942","2019-06-30T19:07:47.000Z","ICC Cricket World Cup 2019","Round38",34,"Won A Contest"
"JL2019063008135585820942","2019-06-30T08:13:55.000Z","ICC Cricket World Cup 2019","Round38",40,"Joined A Contest"
"DD2019063008124385820942","2019-06-30T08:13:18.000Z","","",40,"Deposited Cash"
"JL2019062909512185820942","2019-06-29T09:51:21.000Z","ICC Cricket World Cup 2019","Round38",19,"Joined A Contest"
"DD2019062909504985820942","2019-06-29T09:51:12.000Z","","",19,"Deposited Cash"
"JL2019062909482585820942","2019-06-29T09:48:25.000Z","ICC Cricket World Cup 2019","Round38",34,"Joined A Contest"
"DD2019062909472385820942","2019-06-29T09:48:06.000Z","","",34,"Deposited Cash"
"JL2019062909344485820942","2019-06-29T09:34:44.000Z","ICC Cricket World Cup 2019","Round38",49,"Joined A Contest"
"DD2019062909334685820942","2019-06-29T09:34:24.000Z","","",49,"Deposited Cash"
"JL2019062710454085820942","2019-06-27T10:45:40.000Z","ICC Cricket World Cup 2019","Round38",13,"Joined A Contest"
"DD2019062710450285820942","2019-06-27T10:45:32.000Z","","",13,"Deposited Cash"
